epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,3.61688,5.72036,0.01418,0.04965,5.23438,1.106e-05,1.106e-05,1.106e-05
2,5.88164,5.53083,0.00709,0.04255,5.15625,2.26832e-05,2.26832e-05,2.26832e-05
3,8.12135,5.33861,0.01418,0.06383,4.98438,3.40718e-05,3.40718e-05,3.40718e-05
4,10.4646,5.00386,0.04255,0.09929,4.71875,4.52257e-05,4.52257e-05,4.52257e-05
5,12.9225,4.58236,0.10638,0.23404,4.39062,5.6145e-05,5.6145e-05,5.6145e-05
6,15.212,4.16732,0.15603,0.29787,3.98242,6.68297e-05,6.68297e-05,6.68297e-05
7,17.4669,3.74744,0.25532,0.58865,3.32617,7.43074e-05,7.43074e-05,7.43074e-05
8,19.7379,3.30572,0.32624,0.68085,2.78711,7.35253e-05,7.35253e-05,7.35253e-05
9,21.9087,2.81669,0.44681,0.79433,2.09961,7.27432e-05,7.27432e-05,7.27432e-05
10,24.2369,2.40877,0.68794,0.86525,1.53223,7.19611e-05,7.19611e-05,7.19611e-05
11,26.5862,2.02037,0.76596,0.92908,1.10449,7.1179e-05,7.1179e-05,7.1179e-05
12,28.8891,1.65003,0.8227,0.95745,0.81348,7.03969e-05,7.03969e-05,7.03969e-05
13,31.2135,1.31487,0.85106,0.98582,0.64062,6.96148e-05,6.96148e-05,6.96148e-05
14,33.5082,1.07361,0.87234,1,0.43555,6.88327e-05,6.88327e-05,6.88327e-05
15,35.8107,0.9195,0.9078,1,0.31274,6.80506e-05,6.80506e-05,6.80506e-05
16,38.0808,0.73403,0.92908,0.99291,0.24524,6.72685e-05,6.72685e-05,6.72685e-05
17,40.2882,0.64749,0.92908,0.99291,0.20935,6.64864e-05,6.64864e-05,6.64864e-05
18,42.7267,0.55384,0.93617,1,0.20386,6.57043e-05,6.57043e-05,6.57043e-05
19,45.3912,0.51428,0.92908,0.99291,0.19238,6.49222e-05,6.49222e-05,6.49222e-05
20,47.5448,0.48319,0.94326,0.99291,0.18762,6.41401e-05,6.41401e-05,6.41401e-05
21,49.8779,0.45356,0.93617,0.99291,0.17236,6.3358e-05,6.3358e-05,6.3358e-05
22,52.0841,0.42352,0.93617,0.99291,0.1759,6.25759e-05,6.25759e-05,6.25759e-05
23,54.2968,0.39877,0.94326,0.99291,0.16675,6.17938e-05,6.17938e-05,6.17938e-05
24,56.5604,0.35852,0.94326,0.99291,0.16272,6.10117e-05,6.10117e-05,6.10117e-05
25,58.8898,0.37325,0.93617,0.99291,0.16394,6.02296e-05,6.02296e-05,6.02296e-05
26,61.143,0.31631,0.94326,0.99291,0.16187,5.94475e-05,5.94475e-05,5.94475e-05
27,63.5022,0.28941,0.94326,0.99291,0.16101,5.86654e-05,5.86654e-05,5.86654e-05
28,65.8158,0.27956,0.93617,0.99291,0.16223,5.78833e-05,5.78833e-05,5.78833e-05
29,68.0837,0.24385,0.93617,0.99291,0.15723,5.71012e-05,5.71012e-05,5.71012e-05
30,70.29,0.24515,0.94326,0.99291,0.14661,5.63191e-05,5.63191e-05,5.63191e-05
31,72.5882,0.26396,0.94326,0.99291,0.16089,5.5537e-05,5.5537e-05,5.5537e-05
32,74.9577,0.24986,0.94326,0.99291,0.15588,5.47549e-05,5.47549e-05,5.47549e-05
33,77.3958,0.24238,0.94326,0.99291,0.14856,5.39728e-05,5.39728e-05,5.39728e-05
34,79.6572,0.26176,0.95035,0.99291,0.14343,5.31907e-05,5.31907e-05,5.31907e-05
35,81.9672,0.23388,0.95035,0.99291,0.15332,5.24086e-05,5.24086e-05,5.24086e-05
36,84.3201,0.22997,0.94326,0.99291,0.13586,5.16265e-05,5.16265e-05,5.16265e-05
37,86.4931,0.22329,0.94326,0.99291,0.14038,5.08444e-05,5.08444e-05,5.08444e-05
38,88.6878,0.20459,0.94326,0.99291,0.15173,5.00623e-05,5.00623e-05,5.00623e-05
39,90.8795,0.19189,0.94326,0.99291,0.15198,4.92802e-05,4.92802e-05,4.92802e-05
40,93.0891,0.19947,0.94326,0.99291,0.146,4.84981e-05,4.84981e-05,4.84981e-05
41,95.3317,0.20199,0.94326,0.99291,0.14636,4.7716e-05,4.7716e-05,4.7716e-05
42,97.5376,0.21327,0.94326,0.99291,0.13733,4.69339e-05,4.69339e-05,4.69339e-05
43,99.6517,0.19445,0.95035,0.99291,0.12347,4.61518e-05,4.61518e-05,4.61518e-05
44,101.893,0.20502,0.95035,0.99291,0.12622,4.53697e-05,4.53697e-05,4.53697e-05
45,104.104,0.20774,0.95035,0.99291,0.12561,4.45876e-05,4.45876e-05,4.45876e-05
46,106.491,0.19351,0.95035,0.99291,0.12274,4.38055e-05,4.38055e-05,4.38055e-05
